id, featurePt.x, featurePt.y, status
0,146.0,79.0,1
1,184.0,42.0,1
2,144.0,128.0,1
3,273.0,773.0,1
4,115.0,565.0,1
5,271.0,200.0,1
6,175.0,35.0,1
7,165.0,29.0,1
8,191.0,56.0,1
9,246.0,750.0,1
10,93.0,535.0,1
11,219.0,9.0,1
12,107.0,551.0,1
13,313.0,214.0,1
14,188.0,149.0,1
15,488.0,82.0,1
16,154.0,44.0,1
17,267.0,169.0,1
18,289.0,200.0,1
19,32.0,231.0,1
20,223.0,669.0,1
21,102.0,360.0,1
22,205.0,78.0,1
23,255.0,753.0,1
24,200.0,612.0,1
25,112.0,946.0,1
26,191.0,81.0,1
27,240.0,358.0,1
28,144.0,150.0,1
29,65.0,541.0,1
30,296.0,989.0,1
31,252.0,121.0,1
32,494.0,42.0,1
33,143.0,114.0,1
34,368.0,174.0,1
35,492.0,72.0,1
36,361.0,59.0,1
37,111.0,586.0,1
38,237.0,733.0,1
39,138.0,142.0,1
40,181.0,200.0,1
41,242.0,702.0,1
42,434.0,42.0,1
43,240.0,718.0,1
44,55.0,531.0,1
45,491.0,3.0,1
46,319.0,298.0,1
47,178.0,520.0,1
48,265.0,773.0,1
49,185.0,280.0,1
50,324.0,118.0,1
51,231.0,702.0,1
52,187.0,860.0,1
53,148.0,98.0,1
54,189.0,298.0,1
55,89.0,308.0,1
56,19.0,231.0,1
57,286.0,805.0,1
58,204.0,64.0,1
59,326.0,284.0,1
60,8.0,1085.0,1
61,153.0,65.0,1
62,505.0,100.0,1
63,165.0,314.0,1
64,61.0,1111.0,1
65,268.0,461.0,1
66,81.0,535.0,1
67,420.0,114.0,1
68,16.0,785.0,1
69,180.0,182.0,1
70,259.0,765.0,1
71,363.0,43.0,1
72,347.0,346.0,1
73,427.0,88.0,1
74,36.0,493.0,1
75,427.0,127.0,1
76,100.0,955.0,1
77,249.0,68.0,1
78,175.0,226.0,1
79,115.0,726.0,1
80,19.0,267.0,1
81,330.0,300.0,1
82,145.0,106.0,1
83,280.0,201.0,1
84,115.0,394.0,1
85,314.0,974.0,1
86,402.0,222.0,1
87,279.0,778.0,1
88,89.0,494.0,1
89,190.0,841.0,1
90,198.0,630.0,1
91,166.0,512.0,1
92,197.0,107.0,1
93,430.0,99.0,1
94,417.0,94.0,1
95,176.0,809.0,1
96,178.0,332.0,1
97,443.0,183.0,1
98,303.0,201.0,1
99,448.0,193.0,1
